title,price,link
"Dell Chromebook 11 3180 - Celeron processor - 4gb Ram - 16GB SSD - 11.6"" screen - Playstore supported","Rs. 9,899",//www.daraz.pk/products/dell-chromebook-11-3180-celeron-processor-4gb-ram-16gb-ssd-116-screen-playstore-supported-i528026251.html
"Lenovo | N21 | 6th Gen | 16GB Storage | 4GB RAM | 11.6″ Display | Rotatable Camera | Playstore Supported | Chromebook Daraz Like
New Slightly Used Import American Stock","Rs. 8,399",//www.daraz.pk/products/21-62-16gb-ace-4gb-ram-wain-116-i495423706.html
"HP ProBook 450G9 Intel Core i7 1255U Turbo up to 3.5 GHz, 8GB, 512, 15.6""FHD, AG+BL K/B, Intel9560 Ac2x2, FINGER PRINT, WEBCAM HD, DOS,HP Carrying Case Pike Silver Aluminum (1 year Warranty)","Rs. 229,999",//www.daraz.pk/products/hp-450g9-i7-1255u-up-to-35-ghz-8gb-512-fhd-ag-bl-kb-9560-ac2x2-hd-dos-hp-1-i540053185.html
HP Chromebook 11 G6 EE - 4GB RAM - 16GB ROM - Playstore Supported - 11.6 inch Display - Long Battery Life,"Rs. 14,500",//www.daraz.pk/products/hp-chromebook-11-g6-ee-4gb-ram-16gb-rom-playstore-supported-116-inch-display-long-battery-life-i406194218.html
"HP EliteBook 840 G4 Ultra Book, Core i5 7th generation, 8GB DDR Ram, 500GB Hard Drive , 14.1"" Led Display, Intel HD Graphics","Rs. 54,999",//www.daraz.pk/products/hp-840-g4-7th-i5-8gb-ddr-500gb-led-hd-i538328755.html
"Like New Laptops HP ProBook 650 G1 15.6"" Business Ultrabook: Intel Core i5-4Th Gen 500GB 4GB DDR3 (1920x1080) FHD DVD - Window 10 Pro","Rs. 40,000",//www.daraz.pk/products/like-new-laptops-hp-probook-650-g1-156-business-ultrabook-intel-core-i5-4th-gen-500gb-4gb-ddr3-1920x1080-fhd-dvd-window-10-pro-i399214483.html
HP ProBook 6475 AMD A6-4th Generation 8gb Ram 128gb SSD,"Rs. 34,500",//www.daraz.pk/products/hp-4gb-a6-6475-amd-320gb-i390725049.html
"Dell Latitude 3160 11.6"" Touchscreen Laptop, Intel Quad Core Pentium N3700 6th Gen, 4GB RAM, 500GB HDD, Windows 10 Pro","Rs. 31,999",//www.daraz.pk/products/dell-latitude-3160-116-touchscreen-laptop-intel-quad-core-pentium-n3700-6th-gen-4gb-ram-500gb-hdd-windows-10-pro-i457852399.html
For Microsoft Surface Laptop Go - 12.4 inch 2021 TOUCH PAD Matte Touchpad Protective film Sticker Protector,"Rs. 4,016",//www.daraz.pk/products/124-2021-i534765114.html
DELL CHROMEBOOK LAPTOP 3120 P22T - RAM 4GB/ ROM 16GB - Longer Battery Life,"Rs. 11,850",//www.daraz.pk/products/3120-p22t-4gb-16gb-i434825639.html
